Size_SqFt,Bedrooms,Bathrooms,Age_Years,Location,Proximity_Amenities,House_Price,Garage,Garden,Floor_Level
2248.3570765056165,4,3,95,Urban,Low,303374.51,No,No,3
1930.8678494144076,2,3,80,Urban,Low,252645.25,No,No,3
2323.844269050346,1,3,25,Urban,High,381728.58,Yes,Yes,1
2761.514928204013,3,1,55,Urban,Medium,415913.98,Yes,Yes,4
1882.923312638332,2,3,19,Suburban,Low,310195.64,No,No,1
1882.9315215254096,3,3,43,Urban,Medium,323987.18,No,Yes,2
2789.6064077536957,3,1,15,Urban,Low,438712.81,Yes,No,1
2383.717364576454,3,2,64,Suburban,Medium,360079.67,Yes,Yes,3
1765.262807032524,4,3,30,Urban,Low,302751.93,Yes,Yes,5
2271.2800217929826,4,2,27,Suburban,Low,375660.3,No,Yes,3
1768.291153593769,2,1,89,Rural,High,196324.23,Yes,No,3
1767.1351232148716,5,3,94,Urban,Low,253284.0,No,No,5
2120.981135783017,4,2,95,Rural,Low,240621.93,No,Yes,1
1043.359877671101,1,2,37,Urban,High,172830.75,No,Yes,4
1137.5410837434836,2,1,21,Suburban,High,203177.55,Yes,No,3
1718.8562353795137,1,1,8,Rural,Low,253497.92,Yes,No,2
1493.5844398327881,3,2,24,Rural,Medium,246518.99,No,No,5
2157.123666297637,1,3,35,Rural,Medium,321646.86,No,Yes,4
1545.9879622393946,4,3,46,Urban,Medium,282697.48,Yes,Yes,1
1293.8481493323543,1,1,76,Suburban,Medium,147267.12,Yes,Yes,4
2732.824384460777,3,3,29,Urban,High,469458.09,No,Yes,4
1887.1118497567322,3,1,36,Urban,Low,289783.16,Yes,No,1
2033.764102343962,4,1,93,Suburban,Low,268373.9,No,Yes,1
1287.6259068932716,2,1,76,Urban,Medium,152055.02,Yes,No,2
1727.8086377374086,5,3,66,Rural,Low,254717.75,Yes,No,5
2055.461294854933,2,1,44,Suburban,High,314515.77,No,No,2
1424.5032112888484,5,2,80,Urban,Medium,217822.47,No,Yes,4
2187.849009172836,4,1,0,Rural,High,397600.7,No,No,2
1699.6806550405975,4,2,74,Rural,High,261645.93,Yes,No,3
1854.1531251033616,4,3,67,Urban,Medium,289154.82,No,Yes,2
1699.1466938853016,3,2,12,Rural,High,283642.49,No,No,4
2926.139092254469,2,1,20,Suburban,High,481087.2,Yes,No,5
1993.2513876310331,5,1,39,Suburban,Low,314154.42,Yes,Yes,1
1471.1445355220499,2,1,31,Suburban,Low,217280.9,No,Yes,3
2411.2724560515944,5,3,89,Suburban,Medium,364198.87,No,No,3
1389.5781750144888,1,3,0,Suburban,High,266991.01,Yes,No,1
2104.431797502378,2,1,20,Rural,Medium,311682.06,Yes,No,3
1020.1649380601123,1,3,75,Urban,Medium,147313.96,Yes,No,5
1335.9069755507849,4,2,8,Rural,High,227723.08,No,Yes,3
2098.4306179345617,3,2,51,Rural,Medium,322025.87,No,Yes,3
2369.2332899977055,3,3,46,Suburban,Medium,377808.01,Yes,Yes,1
2085.6841405949854,2,3,35,Rural,Low,293171.9,Yes,Yes,1
1942.1758588058797,1,1,8,Urban,High,321328.23,Yes,Yes,5
