Age,Gender,Annual_Income,Spending_Score,Purchase_History,Frequency_Visits,Product_Preference,Membership,Online_Shopping,Feedback_Score,Customer_Segment
46,Female,62286,61,692,47,Electronics,No,Frequent,3,High-Value
19,Male,63557,80,606,2,Home & Living,No,Frequent,1,High-Value
64,Female,50742,71,930,34,Electronics,Yes,Frequent,2,High-Value
22,Male,19088,59,1571,30,Others,No,Never,5,High-Value
25,Male,30566,58,404,22,Others,Yes,Frequent,2,High-Value
42,Male,34555,46,615,22,Home & Living,Yes,Rarely,1,High-Value
35,Male,7851,98,1580,31,Home & Living,Yes,Rarely,4,High-Value
43,Male,36206,72,1518,14,Home & Living,Yes,Frequent,1,High-Value
30,Female,32440,54,360,46,Fashion,No,Never,1,High-Value
67,Male,68609,56,1191,1,Others,Yes,Rarely,1,High-Value
64,Female,48840,51,2398,32,Home & Living,Yes,Frequent,4,High-Value
50,Female,63772,7,1907,38,Electronics,No,Frequent,2,High-Value
21,Male,48746,52,1181,15,Groceries,Yes,Occasional,1,High-Value
20,Female,69700,93,555,17,Fashion,No,Frequent,1,High-Value
47,Female,75903,41,961,17,Fashion,No,Rarely,4,High-Value
49,Female,55969,50,695,24,Electronics,Yes,Occasional,2,High-Value
55,Male,47770,1,804,35,Home & Living,No,Frequent,1,High-Value
68,Female,32577,26,617,4,Fashion,No,Rarely,3,Mid-Value
25,Female,37603,63,701,47,Others,No,Never,3,High-Value
26,Female,39467,37,582,9,Others,Yes,Never,1,Mid-Value
34,Female,20870,48,308,33,Others,No,Occasional,1,High-Value
50,Male,68507,77,950,7,Fashion,No,Rarely,2,High-Value
63,Female,61823,28,1285,47,Others,Yes,Frequent,5,High-Value
53,Male,41374,100,1072,48,Home & Living,Yes,Rarely,1,High-Value
54,Female,73328,76,958,14,Others,Yes,Rarely,2,High-Value
63,Female,75589,86,643,52,Others,Yes,Never,1,High-Value
25,Male,57484,29,665,31,Others,No,Occasional,2,High-Value
31,Female,42783,35,1602,14,Others,No,Rarely,4,High-Value
56,Female,48212,26,940,8,Others,Yes,Occasional,1,Mid-Value
60,Male,79963,44,1217,14,Others,No,Occasional,3,High-Value
64,Male,45992,84,826,10,Electronics,No,Never,5,High-Value
45,Male,65051,26,620,11,Groceries,No,Rarely,2,Mid-Value
56,Female,57148,51,989,43,Home & Living,Yes,Never,5,High-Value
34,Male,52744,57,496,7,Home & Living,No,Never,1,Mid-Value
64,Male,64983,22,755,28,Electronics,No,Rarely,2,High-Value
50,Male,57506,49,364,5,Home & Living,Yes,Frequent,4,Mid-Value
21,Female,36101,60,310,31,Groceries,No,Never,3,High-Value
23,Female,27907,86,1097,19,Electronics,No,Rarely,4,High-Value
51,Male,40917,10,995,12,Groceries,No,Frequent,5,Mid-Value
37,Male,54072,99,745,38,Fashion,No,Occasional,2,High-Value
19,Male,60686,68,1559,12,Electronics,No,Frequent,2,High-Value
28,Female,52085,8,566,22,Groceries,No,Never,3,Mid-Value
28,Female,49136,2,1523,19,Groceries,No,Rarely,3,High-Value
34,Male,43597,19,573,13,Others,Yes,Occasional,1,Mid-Value
35,Male,42282,2,1215,46,Fashion,No,Occasional,5,High-Value
61,Female,47473,9,946,48,Groceries,No,Rarely,4,High-Value
33,Female,50931,5,865,44,Electronics,Yes,Rarely,3,High-Value
